plugin,kind,name,source_path,source_sha256,lines,codex_projected_name,codex_discovery_0_154_0,strict_yaml,portability_flags_heuristic,declared_tools,referenced_capabilities_heuristic,existing_relative_links
design,command,board,plugins/design/commands/board.md,8979408d8b75d98eaa3dff8afe04f2697e38ba6e987fdd33cbd7bc3c3018db65,150,design:source-command-board,discovered,valid,claude_paths; agent_orchestration; arguments; kgai; maude_cli,,design:board; design:edit; design:import; design:new; design:setup-docs; design:setup-ds; flow:kgai-backend,../../../.ai/archive/decisions/DDR-216-figma-ingestion-architecture-and-trust-boundary.md
design,command,browse,plugins/design/commands/browse.md,f70684d8c9441855e1bd1a4c4a7c61fef34c8976901cc980e6a066177821602a,71,design:source-command-browse,discovered,valid,claude_paths; arguments,,design:browse; design:edit; design:new,
design,command,chat,plugins/design/commands/chat.md,790231cb8e5925d0f32d42b5db94f098a6b52cae2eaa1f2c62f1e7d35f0380c3,40,design:source-command-chat,discovered,valid,maude_cli,,design:chat; design:critic; design:edit; design:new; design:screenshot,
design,command,critic,plugins/design/commands/critic.md,1d3ed6d2fd2298320e004ec6f4496f21cc6c72d606f44b568daf051dbc946aeb,199,design:source-command-critic,discovered,valid,claude_paths; agent_orchestration; kgai; maude_cli,,design:critic; design:design-system-completeness-critic; design:edit; design:handoff; design:new; design:setup-ds; flow:debate-protocol; flow:kgai-backend,
design,command,draw,plugins/design/commands/draw.md,999c0a4ee3264701bb770d92f6df6d13b047590b685cd2a8bb67136ae567c090,160,design:source-command-draw,discovered,invalid,claude_paths; agent_orchestration; question_ui; kgai; maude_cli,,design:draw; design:draw-agent; design:draw-critic; design:edit; design:new; design:setup-docs; design:setup-ds; design:to-lottie; flow:kgai-backend,
design,command,edit,plugins/design/commands/edit.md,580166bf9d34d962395e0cb5700d4b43edba8a4a07bc3d5ace97e278db9d4ce1,825,design:source-command-edit,discovered,invalid,claude_paths; agent_orchestration; question_ui; arguments; kgai; external_expertise; maude_cli,,design:ai-generation; design:board; design:critic; design:draw-agent; design:edit; design:handoff; design:init; design:media-generation-director; design:new; design:rollback; design:screenshot; design:setup-docs; design:video-comp; flow:kgai-backend,
design,command,export,plugins/design/commands/export.md,6109974a0f372c3416fc35ec29a3ced99b980f6ccb09107a64e751f2d89480bc,101,design:source-command-export,discovered,valid,arguments; maude_cli,,design:export; design:new,
design,command,generate,plugins/design/commands/generate.md,de3e34547cf177edbc1d2a4263eae45b6c9453b5ad139fad80b946a5aa80ebfa,79,design:source-command-generate,discovered,valid,maude_cli,,design:ai-generation; design:edit; design:generate,
design,command,handoff,plugins/design/commands/handoff.md,9dc4942aa98c552d87f872e0030f282a9434ae0eb3ef686337f51b026fc0da6a,128,design:source-command-handoff,discovered,valid,arguments; kgai; maude_cli,,design:critic; design:edit; design:handoff; flow:kgai-backend,
design,command,help,plugins/design/commands/help.md,69dde80218d122fe18b3a49a538f7c0a7247c0f526f3466f79dd67b0992c105f,87,design:source-command-help,discovered,valid,,,design:edit; design:help; design:new; design:setup-,
design,command,hub-workspace,plugins/design/commands/hub-workspace.md,85327a03fdef67a37ae9c29c2b7443b85774bfe1d7a093cac8720e3a099276e0,32,design:source-command-hub-workspace,discovered,valid,,,design:hub-workspace,
design,command,import,plugins/design/commands/import.md,10f313bc2741ae72fe81a6335d5955fad3b5ae1655d2173420a672e9f184af11,489,design:source-command-import,discovered,valid,claude_paths; agent_orchestration; kgai; maude_cli,,design:board; design:edit; design:import; design:new; design:reconstruct-agent; design:reconstruct-critic; design:setup-docs; design:setup-ds; flow:kgai-backend,../../../.ai/archive/decisions/DDR-216-figma-ingestion-architecture-and-trust-boundary.md; ../../../.ai/archive/decisions/DDR-221-fig-container-decoder-fails-loud-and-adds-no-dependency.md; ../../../.ai/archive/decisions/DDR-216-figma-ingestion-architecture-and-trust-boundary.md; ../../../.ai/archive/decisions/DDR-219-codegen-is-a-per-frame-tool-not-an-ingestion-route.md; ../../../.ai/archive/decisions/DDR-174-vision-reconstruction-trust-boundary-and-experimental-posture.md
design,command,init,plugins/design/commands/init.md,491a54099e23a1e7b65d69bef5c8df66f552c0b6e9f10dad2b6ed4bf67621f21,158,design:source-command-init,discovered,valid,claude_paths; question_ui; maude_cli,,design:edit; design:init; design:new; design:setup-ds; flow:init; flow:plan,
